"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
China,161692,4638,133222,23832,112.0,3.0,160000000,111163.0,1439323776,Asia,17.0
USA,82034738,1011665,66311893,14711180,245299.0,3025.0,990702517,2962387.0,334427063,North America,43989.0
India,43034217,521686,42501196,11335,30652.0,372.0,792963033,564813.0,1403939582,Asia,8.0
Brazil,30123963,661182,29001370,461411,139965.0,3072.0,63776166,296323.0,215225111,South America,2144.0
France,26698031,143156,23912860,2642015,407427.0,2185.0,260504402,3975447.0,65528336,Europe,40319.0
Germany,22534061,132141,18168200,4233720,267446.0,1568.0,122332384,1451903.0,84256598,Europe,50248.0
UK,21549830,169759,19532167,1847904,314526.0,2478.0,509604812,7437840.0,68515161,Europe,26971.0
Russia,17969431,371169,17143630,454632,123040.0,2541.0,273400000,1872028.0,146044862,Europe,3113.0
Italy,15173707,160546,13763554,1249607,251616.0,2662.0,205609215,3409490.0,60304976,Europe,20721.0
S. Korea,14983694,18754,,,291812.0,365.0,15804065,307789.0,51347030,Asia,272565.0
Turkey,14946379,98342,14634481,213556,173916.0,1144.0,155597564,1810536.0,85940035,Asia,2485.0
Spain,11627487,103104,11033321,491062,248521.0,2204.0,471036328,10067734.0,46786728,Europe,10496.0
Vietnam,10135789,42768,8455675,1637346,102502.0,433.0,84898827,858573.0,98883664,Asia,16558.0
Argentina,9051243,128194,8880138,42911,197077.0,2791.0,35585583,774822.0,45927421,South America,934.0
Netherlands,7971855,22080,6890044,1059731,463432.0,1284.0,21107399,1227049.0,17201762,Europe,61606.0
Iran,7186992,140528,6909967,136497,83677.0,1636.0,49358909,574680.0,85889353,Asia,1589.0
Japan,6887421,28528,6369339,489554,54752.0,227.0,44376538,352773.0,125793403,Asia,3892.0
Colombia,6087443,139703,5920596,27144,117428.0,2695.0,34099595,657790.0,51839636,South America,524.0
Indonesia,6030168,155556,5798044,76568,21643.0,558.0,92947569,333593.0,278625997,Asia,275.0
Poland,5976359,115594,5333693,527072,158216.0,3060.0,35827025,948470.0,37773481,Europe,13953.0
Mexico,5715504,323508,5014280,377716,43523.0,2463.0,15645671,119139.0,131322449,North America,2876.0
Ukraine,4982249,108118,,,115143.0,2499.0,19521252,451147.0,43270260,Europe,18861.0
Australia,4970754,6526,4476602,487626,191023.0,251.0,67474141,2592984.0,26021808,Australia/Oceania,18739.0
Malaysia,4307529,35259,4113831,158439,130147.0,1065.0,57291591,1730995.0,33097496,Asia,4787.0
Israel,3987834,10559,3894082,83193,427604.0,1132.0,41373364,4436346.0,9326000,Asia,8921.0
Austria,3964246,16168,3729061,219017,435772.0,1777.0,178678948,19641393.0,9097061,Europe,24076.0
Belgium,3915732,30997,3570719,314016,335291.0,2654.0,33120016,2835955.0,11678611,Europe,26888.0
Czechia,3855914,39861,3764115,51938,358889.0,3710.0,54871748,5107183.0,10744033,Europe,4834.0
Thailand,3833048,25880,3558917,248251,54673.0,369.0,17270775,246342.0,70108987,Asia,3541.0
South Africa,3730066,100084,3617624,12358,61524.0,1651.0,24019672,396183.0,60627747,Africa,204.0
Philippines,3680802,59660,3590615,30527,32819.0,532.0,29110370,259558.0,112153795,Asia,272.0
Portugal,3667184,21874,,,361503.0,2156.0,40384633,3981034.0,10144258,Europe,75820.0
Canada,3560840,37977,3328661,194202,92909.0,991.0,59839826,1561340.0,38325951,North America,5067.0
Peru,3550791,212438,,,105109.0,6288.0,29106235,861590.0,33782021,South America,47886.0
Switzerland,3512093,13752,2996614,501727,400637.0,1569.0,20400357,2327139.0,8766283,Europe,57234.0
Chile,3504783,56955,3173881,273947,180606.0,2935.0,35991569,1854692.0,19405690,South America,14117.0
Greece,3152477,28025,2902353,222099,305081.0,2712.0,76125933,7367094.0,10333238,Europe,21494.0
Denmark,2932847,5861,2883451,43535,503218.0,1006.0,126942420,21780766.0,5828189,Europe,7470.0
Romania,2870486,65179,2606660,198647,150988.0,3428.0,22292521,1172593.0,19011305,Europe,10449.0
Sweden,2491980,18472,2444490,29018,244064.0,1809.0,18445431,1806540.0,10210366,Europe,2842.0
Iraq,2321630,25183,2287525,8922,55523.0,602.0,18385478,439697.0,41813985,Asia,213.0
Serbia,1987756,15869,1941588,30299,229129.0,1829.0,9286856,1070496.0,8675283,Europe,3493.0
Bangladesh,1951995,29123,1887323,35549,11648.0,174.0,13878444,82815.0,167583899,Asia,212.0
Hungary,1868007,45721,1725324,96962,194239.0,4754.0,11191893,1163752.0,9617076,Europe,10082.0
Slovakia,1745268,19523,1655086,70659,319394.0,3573.0,6958964,1273531.0,5464308,Europe,12931.0
Jordan,1694216,14048,1678941,1227,163191.0,1353.0,16670254,1605715.0,10381824,Asia,118.0
Georgia,1650981,16766,1630564,3651,415272.0,4217.0,16541897,4160795.0,3975658,Asia,918.0
Pakistan,1526234,30361,1486650,9223,6681.0,133.0,27689870,121204.0,228456212,Asia,40.0
Ireland,1487164,6863,1321801,158500,295360.0,1363.0,11910682,2365537.0,5035086,Europe,31479.0
Norway,1414993,2667,,,257457.0,485.0,11002430,2001888.0,5496027,Europe,240787.0
Kazakhstan,1305265,13660,1290404,1201,68079.0,712.0,11575012,603717.0,19172901,Asia,63.0
Hong Kong,1185727,8643,,,155929.0,1137.0,44972952,5914159.0,7604285,Asia,153052.0
Morocco,1163888,16061,1147093,734,30887.0,426.0,11237010,298204.0,37682317,Africa,19.0
Bulgaria,1144822,36685,938720,169417,166977.0,5351.0,9682336,1412207.0,6856175,Europe,24710.0
Singapore,1132169,1297,1060505,70367,190873.0,219.0,23611604,3980704.0,5931515,Asia,11863.0
Croatia,1107648,15660,1083948,8040,272779.0,3857.0,4713967,1160902.0,4060607,Europe,1980.0
Cuba,1095625,8517,1084204,2904,96834.0,753.0,12920253,1141928.0,11314419,North America,257.0
Lebanon,1094314,10334,1071133,12847,161605.0,1526.0,4795578,708198.0,6771523,Asia,1897.0
Lithuania,1038988,8957,984220,45811,391289.0,3373.0,8126504,3060489.0,2655296,Europe,17253.0
Tunisia,1037358,28425,,,86182.0,2362.0,4537900,377003.0,12036780,Africa,-1085.59
