"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
China,171382,4638,143922,22822,119.0,3.0,160000000,111163.0,1439323776,Asia,16.0
USA,82256185,1014985,80095639,1145561,245934.0,3035.0,994742849,2974139.0,334464117,North America,3425.0
India,43039972,521772,42507038,11162,30651.0,372.0,794525202,565821.0,1404198864,Asia,8.0
Brazil,30234024,661855,29191158,381011,140457.0,3075.0,63776166,296283.0,215253965,South America,1770.0
France,27447397,143910,24636105,2667382,418845.0,2196.0,260504402,3975279.0,65531091,Europe,40704.0
Germany,23277316,133215,19444600,3699501,276250.0,1581.0,122332384,1451815.0,84261708,Europe,43905.0
UK,21747638,171396,20049144,1527098,317382.0,2501.0,512140269,7474103.0,68521968,Europe,22286.0
Russia,18041927,372766,17321116,348045,123536.0,2552.0,273400000,1872012.0,146046055,Europe,2383.0
S. Korea,15979061,20352,,,311192.0,396.0,15804065,307784.0,51347871,Asia,291914.0
Italy,15533747,161336,14144014,1228397,257594.0,2675.0,208014099,3449466.0,60303282,Europe,20370.0
Turkey,14983158,98514,14705256,179388,174309.0,1146.0,156696697,1822958.0,85957383,Asia,2087.0
Spain,11662214,103266,11120708,438240,249261.0,2207.0,471036328,10067660.0,46787073,Europe,9367.0
Vietnam,10374457,42901,8856627,1474929,104898.0,434.0,85547798,864989.0,98900397,Asia,14913.0
Argentina,9059351,128306,8891306,39739,197220.0,2793.0,35696389,777101.0,45935345,South America,865.0
Netherlands,8011443,22148,7244835,744460,465714.0,1287.0,21107399,1226997.0,17202485,Europe,43276.0
Iran,7202055,140744,6934664,126647,83833.0,1638.0,50079995,582936.0,85909914,Asia,1474.0
Japan,7181768,28825,6642021,510922,57095.0,229.0,45167148,359079.0,125786031,Asia,4062.0
Colombia,6089176,139738,5922410,27028,117438.0,2695.0,34226470,660105.0,51850003,South America,521.0
Indonesia,6037742,155794,5817904,64044,21665.0,559.0,93725462,336318.0,278681282,Asia,230.0
Poland,5982663,115775,5333907,532981,158386.0,3065.0,35910845,950709.0,37772692,Europe,14110.0
Mexico,5724611,323848,5025527,375236,43583.0,2466.0,15691493,119465.0,131348341,North America,2857.0
Australia,5262288,6693,4821415,434180,202182.0,257.0,67979668,2611844.0,26027464,Australia/Oceania,16682.0
Ukraine,4990465,108220,,,115346.0,2501.0,19521252,451199.0,43265262,Europe,19051.0
Malaysia,4363024,35381,4209858,117785,131792.0,1069.0,57790499,1745650.0,33105427,Asia,3558.0
