"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
Austria,4027023,16359,3857030,153634,442625.0,1798.0,180115697,19797193.0,9098042,Europe,16886.0
Israel,4022692,10612,3941841,70239,431342.0,1138.0,41373364,4436346.0,9326000,Asia,7532.0
Thailand,3973003,26513,3716789,229701,56666.0,378.0,17270775,246330.0,70112328,Asia,3276.0
Belgium,3972963,31165,3623588,318210,340163.0,2668.0,33313880,2852320.0,11679574,Europe,27245.0
Czechia,3876007,39960,3794611,41436,360746.0,3719.0,54982426,5117305.0,10744411,Europe,3857.0
South Africa,3737346,100138,3625407,11801,61630.0,1651.0,24116414,397685.0,60642047,Africa,195.0
Portugal,3719485,21993,,,366680.0,2168.0,40534335,3996014.0,10143691,Europe,80968.0
Philippines,3682351,59932,3598245,24174,32825.0,534.0,29242796,260674.0,112181693,Asia,215.0
Canada,3623785,38288,3367618,217879,94536.0,999.0,60149136,1569151.0,38332273,North America,5684.0
Peru,3554006,212565,,,105177.0,6291.0,29338086,868227.0,33790808,South America,47965.0
Switzerland,3551790,13793,3162281,375716,405109.0,1573.0,20548491,2343714.0,8767492,Europe,42853.0
Chile,3522422,57167,3266226,199029,181486.0,2945.0,36308703,1870732.0,19408825,South America,10255.0
Greece,3216256,28406,3039010,148840,311283.0,2749.0,77364430,7487652.0,10332269,Europe,14405.0
Denmark,2945233,5961,2905972,33300,505309.0,1023.0,127036762,21795498.0,5828578,Europe,5713.0
Romania,2879021,65297,2606660,207064,151457.0,3435.0,22396439,1178210.0,19008864,Europe,10893.0
Sweden,2495996,18572,2453443,23981,244428.0,1819.0,18471631,1808893.0,10211568,Europe,2348.0
Iraq,2322734,25192,2291075,6467,55526.0,602.0,18413936,440195.0,41831289,Asia,155.0
Serbia,1993661,15913,1953138,24610,229827.0,1834.0,9350216,1077883.0,8674613,Europe,2837.0
Bangladesh,1952197,29124,1890084,32989,11647.0,174.0,13912365,83002.0,167615256,Asia,197.0
Hungary,1879480,45865,1748707,84908,195441.0,4769.0,11244573,1169287.0,9616609,Europe,8829.0
Slovakia,1759793,19670,1691241,48882,322049.0,3600.0,7003742,1281714.0,5464358,Europe,8946.0
Jordan,1694216,14048,1678941,1227,163160.0,1353.0,16670254,1605416.0,10383760,Asia,118.0
Georgia,1652472,16783,1632842,2847,415663.0,4222.0,16650610,4188293.0,3975512,Asia,716.0
Pakistan,1526952,30362,1487144,9446,6681.0,133.0,27830633,121777.0,228538380,Asia,41.0
Ireland,1498834,6932,1353096,138806,297616.0,1376.0,11962495,2375330.0,5036141,Europe,27562.0
Norway,1418814,2783,,,258115.0,506.0,11002430,2001593.0,5496837,Europe,241426.0
Kazakhstan,1305343,13660,1290758,925,68067.0,712.0,11575012,603582.0,19177195,Asia,48.0
Hong Kong,1195338,9002,,,157169.0,1184.0,44972952,5913256.0,7605447,Asia,154245.0
Morocco,1164259,16061,1147499,699,30890.0,426.0,11237010,298138.0,37690682,Africa,19.0
Singapore,1152177,1309,1082412,68456,194218.0,221.0,23611604,3980115.0,5932393,Asia,11539.0
Bulgaria,1148362,36764,946789,164809,167517.0,5363.0,9732779,1419770.0,6855181,Europe,24042.0
Croatia,1111823,15715,1090032,6076,273840.0,3871.0,4735381,1166314.0,4060125,Europe,1497.0
Cuba,1098563,8519,1087923,2121,97095.0,753.0,12920253,1141941.0,11314287,North America,187.0
Lebanon,1095099,10353,1074880,9866,161735.0,1529.0,4795578,708259.0,6770942,Asia,1457.0
Lithuania,1046414,9000,1000341,37073,394193.0,3390.0,8164615,3075677.0,2654575,Europe,13966.0
Tunisia,1038668,28509,,,86274.0,2368.0,4547755,377747.0,12039144,Africa,-1134.22
Slovenia,994176,6552,962301,25323,478096.0,3151.0,2631494,1265477.0,2079448,Europe,12178.0
Nepal,978634,11951,966204,479,32544.0,397.0,5588749,185851.0,30071072,Asia,16.0
Belarus,972448,6889,928536,37023,102972.0,729.0,13001483,1376724.0,9443780,Europe,3920.0
Finland,949583,3517,46000,900066,170909.0,633.0,10591416,1906278.0,5556070,Europe,161997.0
Bolivia,903677,21901,850689,31087,75578.0,1832.0,2688875,224880.0,11956936,South America,2600.0
Uruguay,895240,7190,885068,2982,256134.0,2057.0,6084644,1740858.0,3495199,South America,853.0
UAE,894779,2302,876064,16413,88561.0,228.0,151681608,15012802.0,10103484,Asia,1624.0
Ecuador,865585,35513,,,47768.0,1960.0,2470170,136317.0,18120722,South America,21312.0
Costa Rica,844892,8357,825599,10936,163199.0,1614.0,4163300,804181.0,5177071,North America,2112.0
Guatemala,837326,17416,816058,3852,45245.0,941.0,4348667,234982.0,18506374,North America,208.0
Latvia,811868,5705,793294,12869,439080.0,3085.0,7119235,3850277.0,1849019,Europe,6960.0
New Zealand,805240,514,741486,63240,160980.0,103.0,6964290,1392273.0,5002100,Australia/Oceania,12643.0
Azerbaijan,792320,9705,782440,175,76908.0,942.0,6759211,656097.0,10302149,Asia,17.0
Panama,768199,8178,757373,2648,173179.0,1844.0,5779516,1302906.0,4435867,North America,597.0
Saudi Arabia,752291,9063,738266,4962,21025.0,253.0,41716475,1165899.0,35780534,Asia,139.0
Sri Lanka,662775,16495,642539,3741,30722.0,765.0,6477329,300247.0,21573365,Asia,173.0
Paraguay,648446,18734,624673,5039,88965.0,2570.0,2615453,358834.0,7288764,South America,691.0
Kuwait,630641,2555,626843,1243,143878.0,583.0,7948416,1813390.0,4383180,Asia,284.0
Myanmar,612480,19434,591192,1854,11124.0,353.0,7811554,141873.0,55060279,Asia,34.0
Palestine,581678,5352,575613,713,109487.0,1007.0,3078533,579458.0,5312781,Asia,134.0
Dominican Republic,578626,4375,574132,119,52403.0,396.0,3251191,294441.0,11041897,North America,11.0
Estonia,566466,2505,499489,64472,426515.0,1886.0,3287551,2475331.0,1328126,Europe,48544.0
Bahrain,561940,1473,556356,4111,310989.0,815.0,9666687,5349738.0,1806946,Asia,2275.0
Venezuela,521880,5699,514477,1704,18446.0,201.0,3359014,118726.0,28292265,South America,60.0
Moldova,516004,11477,502756,1771,128447.0,2857.0,3192777,794768.0,4017244,Europe,441.0
Egypt,511977,24522,442182,45273,4840.0,232.0,3693367,34917.0,105775222,Africa,428.0
Libya,501834,6429,490837,4568,71305.0,913.0,2475203,351696.0,7037896,Africa,649.0
Ethiopia,470165,7509,453609,9047,3917.0,63.0,4723274,39348.0,120038795,Africa,75.0
Mongolia,469266,2177,313256,153833,139148.0,646.0,4030048,1195004.0,3372414,Asia,45615.0
Cyprus,464366,993,124370,339003,379684.0,812.0,9477138,7748882.0,1223033,Asia,277182.0
Armenia,422721,8621,410393,3707,142181.0,2900.0,3007841,1011678.0,2973120,Asia,1247.0
Honduras,421268,10888,131100,279280,41360.0,1069.0,1263329,124032.0,10185468,North America,27419.0
Oman,388795,4257,383851,687,72834.0,797.0,25000000,4683326.0,5338087,Asia,129.0
Bosnia and Herzegovina,376384,15748,192218,168418,116009.0,4854.0,1747819,538714.0,3244431,Europe,51910.0
Qatar,363258,677,361425,1156,129374.0,241.0,3419780,1217955.0,2807805,Asia,412.0
Réunion,360445,731,342442,17272,397532.0,806.0,1603660,1768666.0,906706,Africa,19049.0
Kenya,323595,5649,317801,145,5791.0,101.0,3560241,63709.0,55882487,Africa,3.0
Zambia,318229,3969,313277,983,16487.0,206.0,3393102,175795.0,19301428,Africa,51.0
North Macedonia,308294,9260,297922,1112,147989.0,4445.0,1990996,955730.0,2083221,Europe,534.0
Botswana,305859,2688,303026,145,125544.0,1103.0,2026898,831968.0,2436268,Africa,60.0
Albania,274376,3495,270510,371,95528.0,1217.0,1790270,623311.0,2872193,Europe,129.0
Algeria,265733,6874,178329,80530,5871.0,152.0,230861,5100.0,45262694,Africa,1779.0
Nigeria,255646,3143,249842,2661,1188.0,15.0,4977858,23126.0,215245373,Africa,12.0
Zimbabwe,247208,5462,240819,927,16212.0,358.0,2224646,145891.0,15248698,Africa,61.0
Uzbekistan,238176,1637,236127,412,6937.0,48.0,1377915,40133.0,34334066,Asia,12.0
Montenegro,233980,2709,230805,466,372456.0,4312.0,2436085,3877832.0,628208,Europe,742.0
Luxembourg,228536,1053,212838,14645,354795.0,1635.0,4195400,6513231.0,644135,Europe,22736.0
Mozambique,225314,2200,223060,54,6866.0,67.0,1305006,39768.0,32815874,Africa,2.0
Kyrgyzstan,200973,2991,196304,1678,29924.0,445.0,1907195,283974.0,6716101,Asia,250.0
Laos,198980,709,7660,190611,26659.0,95.0,1230778,164900.0,7463801,Asia,25538.0
Iceland,183974,110,75685,108179,532961.0,319.0,1953616,5659505.0,345192,Europe,313388.0
Afghanistan,178355,7676,161463,9216,4405.0,190.0,933540,23055.0,40491001,Asia,228.0
Maldives,178313,298,163687,14328,319834.0,535.0,2213831,3970876.0,557517,Asia,25700.0
Uganda,164035,3596,100200,60239,3395.0,74.0,2598861,53790.0,48314812,Africa,1247.0
El Salvador,162089,4124,150662,7303,24767.0,630.0,1950448,298025.0,6544570,North America,1116.0
Ghana,161086,1445,159607,34,4998.0,45.0,2429358,75378.0,32229121,Africa,1.0
Namibia,158001,4022,153662,317,60238.0,1533.0,994079,378994.0,2622939,Africa,121.0
Martinique,147519,918,104,146497,393651.0,2450.0,828928,2211973.0,374746,North America,390923.0
Trinidad and Tobago,141604,3794,131451,6359,100602.0,2695.0,687522,488446.0,1407570,North America,4518.0
Guadeloupe,140130,854,2250,137026,350110.0,2134.0,938039,2343656.0,400246,North America,342354.0
Brunei ,139465,217,137184,2064,313440.0,488.0,717784,1613183.0,444949,Asia,4639.0
Cambodia,136013,3055,132709,249,7939.0,178.0,2941393,171695.0,17131529,Asia,15.0
Rwanda,129755,1458,45522,82775,9594.0,108.0,5178134,382872.0,13524439,Africa,6120.0
Jamaica,129133,2921,82282,43930,43272.0,979.0,957157,320740.0,2984217,North America,14721.0
Cameroon,119780,1927,117791,62,4321.0,70.0,1751774,63187.0,27723536,Africa,2.0
Angola,99194,1900,97149,145,2860.0,55.0,1499795,43237.0,34687890,Africa,4.0
Malta,87872,671,78393,8808,198071.0,1512.0,1850363,4170866.0,443640,Europe,19854.0
DRC,87023,1337,50930,34756,922.0,14.0,846704,8968.0,94413020,Africa,368.0
Senegal,85961,1965,83974,22,4904.0,112.0,1057902,60347.0,17530267,Africa,1.0
Malawi,85717,2628,81895,1194,4284.0,131.0,567874,28378.0,20010914,Africa,60.0
Ivory Coast,81842,797,81009,36,2971.0,29.0,1485838,53947.0,27542434,Africa,1.0
French Guiana,80035,394,11254,68387,256129.0,1261.0,618263,1978575.0,312479,South America,218853.0
Suriname,79276,1325,49395,28556,133012.0,2223.0,235707,395478.0,596005,South America,47912.0
Channel Islands,72328,165,70327,1836,409278.0,934.0,1252808,7089186.0,176721,Europe,10389.0
Eswatini,70072,1395,68578,99,59303.0,1181.0,1008825,853790.0,1181585,Africa,84.0
Fiji,64503,862,62662,979,71036.0,949.0,506083,557342.0,908029,Australia/Oceania,1078.0
Madagascar,64089,1390,59355,3344,2213.0,48.0,415532,14349.0,28959701,Africa,115.0
Barbados,63785,381,60434,2970,221474.0,1323.0,629322,2185131.0,288002,North America,10312.0
Guyana,63358,1228,62030,100,79864.0,1548.0,581654,733189.0,793321,South America,126.0
Sudan,62057,4929,,,1359.0,108.0,562941,12325.0,45674042,Africa,368.0
New Caledonia,60385,312,60011,62,207943.0,1074.0,98964,340795.0,290392,Australia/Oceania,214.0
Mauritania,58681,982,57686,13,12056.0,202.0,792698,162856.0,4867464,Africa,3.0
Belize,57331,672,56473,186,139662.0,1637.0,529581,1290097.0,410497,North America,453.0
Cabo Verde,55986,401,55514,71,98783.0,708.0,400982,707505.0,566755,Africa,125.0
Syria,55761,3148,51939,674,3054.0,172.0,146269,8011.0,18258360,Asia,37.0
Bhutan,49066,15,38906,10145,62365.0,19.0,2213391,2813302.0,786759,Asia,12895.0
Gabon,47588,303,47270,15,20518.0,131.0,1589113,685158.0,2319339,Africa,6.0
Papua New Guinea,43615,649,42906,60,4716.0,70.0,249149,26937.0,9249156,Australia/Oceania,6.0
Curaçao,41153,270,40306,577,248975.0,1633.0,494095,2989261.0,165290,North America,3491.0
Andorra,40709,153,39999,557,525379.0,1975.0,249838,3224340.0,77485,Europe,7188.0
Burundi,38722,38,773,37911,3092.0,3.0,345742,27611.0,12521817,Africa,3028.0
Mauritius,37234,985,35146,1103,29191.0,772.0,358675,281196.0,1275532,Africa,865.0
Togo,36960,272,36659,29,4285.0,32.0,724021,83949.0,8624551,Africa,3.0
Mayotte,36958,187,2964,33807,129884.0,657.0,176919,621757.0,284547,Africa,118810.0
Guinea,36459,440,35976,43,2648.0,32.0,660107,47946.0,13767603,Africa,3.0
Faeroe Islands,34658,28,7693,26937,704517.0,569.0,778000,15814937.0,49194,Europe,547567.0
Aruba,34345,212,34038,95,319269.0,1971.0,177885,1653606.0,107574,North America,883.0
Bahamas,33372,789,32255,328,83441.0,1973.0,229025,572641.0,399945,North America,820.0
Lesotho,32910,697,24155,8058,15148.0,321.0,431221,198488.0,2172534,Africa,3709.0
Mali,30617,729,29689,199,1438.0,34.0,657795,30897.0,21290208,Africa,9.0
Haiti,30586,835,29100,651,2625.0,72.0,132422,11366.0,11650389,North America,56.0
Taiwan,30573,854,21473,8246,1280.0,36.0,13482923,564289.0,23893650,Asia,345.0
Isle of Man,28416,87,26794,1535,331054.0,1014.0,150753,1756312.0,85835,Europe,17883.0
Benin,26952,163,25506,1283,2124.0,13.0,604310,47624.0,12689095,Africa,101.0
Somalia,26471,1350,13182,11939,1587.0,81.0,400466,24004.0,16683375,Africa,716.0
Congo,24079,385,20178,3516,4180.0,67.0,347815,60383.0,5760155,Africa,610.0
Saint Lucia,23045,365,22616,64,124484.0,1972.0,141332,763445.0,185124,North America,346.0
Timor-Leste,22848,130,22703,15,16760.0,95.0,259788,190571.0,1363211,Asia,11.0
Cayman Islands,21406,26,8553,12827,319026.0,387.0,222773,3320114.0,67098,North America,191168.0
Burkina Faso,20853,382,20439,32,951.0,17.0,248995,11357.0,21924711,Africa,1.0
Gibraltar,17494,101,16579,814,519526.0,2999.0,534283,15866807.0,33673,Europe,24174.0
South Sudan,17369,138,13514,3717,1520.0,12.0,370216,32396.0,11427741,Africa,325.0
Liechtenstein,16906,84,16489,333,441145.0,2192.0,102174,2666127.0,38323,Europe,8689.0
Equatorial Guinea,15906,183,15697,26,10710.0,123.0,307847,207289.0,1485107,Africa,18.0
San Marino,15683,114,15225,344,460479.0,3347.0,147532,4331787.0,34058,Europe,10100.0
Djibouti,15598,189,15404,5,15388.0,186.0,302030,297973.0,1013617,Africa,5.0
CAR,14649,113,6859,7677,2942.0,23.0,81294,16326.0,4979475,Africa,1542.0
Grenada,14165,219,13815,131,124853.0,1930.0,146475,1291063.0,113453,North America,1155.0
Bermuda,12901,131,12563,207,208525.0,2117.0,858416,13874960.0,61868,North America,3346.0
Solomon Islands,12437,139,11194,1104,17348.0,194.0,5117,7138.0,716905,Australia/Oceania,1540.0
Gambia,11994,365,11591,38,4726.0,144.0,155686,61350.0,2537653,Africa,15.0
Dominica,11988,63,11903,22,165798.0,871.0,187337,2590927.0,72305,North America,304.0
Greenland,11971,21,2761,9189,210217.0,369.0,164926,2896182.0,56946,North America,161363.0
Yemen,11815,2147,9000,668,381.0,69.0,265253,8557.0,30996845,Asia,22.0
Monaco,11341,54,11053,234,285394.0,1359.0,54960,1383059.0,39738,Europe,5889.0
Saint Martin,10279,63,1399,8817,257994.0,1581.0,112382,2820692.0,39842,North America,221299.0
Sint Maarten,9909,86,9740,83,226522.0,1966.0,62056,1418617.0,43744,North America,1897.0
Eritrea,9733,103,9626,4,2678.0,28.0,23693,6520.0,3633938,Africa,1.0
Caribbean Netherlands,9349,34,8987,328,350701.0,1275.0,30126,1130092.0,26658,North America,12304.0
Niger,8859,308,8488,63,344.0,12.0,244837,9502.0,25767619,Africa,2.0
Tonga,8842,11,7016,1815,81999.0,102.0,334164,3098960.0,107831,Australia/Oceania,16832.0
Guinea-Bissau,8176,170,7280,726,3987.0,83.0,131519,64127.0,2050903,Africa,354.0
Sierra Leone,7681,125,,,929.0,15.0,259958,31448.0,8266151,Africa,331.0
Antigua and Barbuda,7535,135,7377,23,75824.0,1358.0,18901,190199.0,99375,North America,231.0
Liberia,7402,294,5747,1361,1405.0,56.0,139824,26534.0,5269555,Africa,258.0
Chad,7378,192,4874,2312,427.0,11.0,191341,11082.0,17265762,Africa,134.0
St. Vincent Grenadines,6748,106,6640,2,60483.0,950.0,98712,884770.0,111568,North America,18.0
British Virgin Islands,6162,62,,,201438.0,2027.0,102294,3344034.0,30590,North America,621.0
Vanuatu,5966,7,4893,1066,18647.0,22.0,24976,78065.0,319937,Australia/Oceania,3332.0
Sao Tome and Principe,5948,73,5872,3,26270.0,322.0,29036,128243.0,226414,Africa,13.0
Turks and Caicos,5936,36,5862,38,149706.0,908.0,447713,11291342.0,39651,North America,958.0
Saint Kitts and Nevis,5555,43,5509,3,103119.0,798.0,65141,1209226.0,53870,North America,56.0
Samoa,4793,10,1605,3178,23874.0,50.0,36282,180719.0,200765,Australia/Oceania,15829.0
St. Barth,4432,6,,,446279.0,604.0,78646,7919243.0,9931,North America,399154.0
Palau,4122,6,3803,313,225888.0,329.0,42138,2309185.0,18248,Australia/Oceania,17153.0
Cook Islands,3788,,3182,606,215313.0,,14341,815154.0,17593,Australia/Oceania,34446.0
Anguilla,2731,9,2716,6,179176.0,590.0,51382,3371080.0,15242,North America,394.0
Saint Pierre Miquelon,2537,1,2449,87,441678.0,174.0,22941,3993907.0,5744,North America,15146.0
Wallis and Futuna,454,7,438,9,41697.0,643.0,20508,1883542.0,10888,Australia/Oceania,827.0
Montserrat,176,2,174,0,35221.0,400.0,9403,1881729.0,4997,North America,
Falkland Islands,128,,,,34963.0,,8632,2357826.0,3661,South America,1093.0
Macao,82,,82,0,123.0,,5375,8081.0,665118,Asia,
