"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
China,174868,4638,145352,24878,121.0,3.0,160000000,111163.0,1439323776,Asia,17.0
USA,82295768,1015357,80128309,1152102,246053.0,3036.0,995576382,2976631.0,334464117,North America,3445.0
India,43040947,521776,42507834,11337,30652.0,372.0,794525202,565821.0,1404198864,Asia,8.0
Brazil,30247302,661960,29199903,385439,140519.0,3075.0,63776166,296283.0,215253965,South America,1791.0
France,27572791,144061,24775489,2653241,420759.0,2198.0,260504402,3975279.0,65531091,Europe,40488.0
Germany,23365504,133306,19674300,3557898,277297.0,1582.0,122332384,1451815.0,84261708,Europe,42224.0
UK,21747638,171396,20048794,1527448,317382.0,2501.0,512140269,7474103.0,68521968,Europe,22291.0
Russia,18053359,373027,17340639,339693,123614.0,2554.0,273400000,1872012.0,146046055,Europe,2326.0
S. Korea,16104869,20616,,,313642.0,401.0,15804065,307784.0,51347871,Asia,294359.0
Italy,15595302,161469,14214909,1218924,258614.0,2678.0,208411581,3456057.0,60303282,Europe,20213.0
Turkey,14987583,98532,14719749,169302,174361.0,1146.0,156868643,1824958.0,85957383,Asia,1970.0
Spain,11662214,103266,11120708,438240,249261.0,2207.0,471036328,10067660.0,46787073,Europe,9367.0
Vietnam,10394533,42924,8863044,1488565,105101.0,434.0,85578698,865302.0,98900397,Asia,15051.0
Argentina,9059944,128327,8894180,37437,197233.0,2794.0,35707307,777338.0,45935345,South America,815.0
Netherlands,8015576,22156,7305087,688333,465955.0,1288.0,21107399,1226997.0,17202485,Europe,40014.0
Japan,7237050,28884,6682153,526013,57535.0,230.0,45346052,360501.0,125786031,Asia,4182.0
Iran,7204049,140777,6938480,124792,83856.0,1639.0,50079995,582936.0,85909914,Asia,1453.0
Colombia,6089381,139741,5922639,27001,117442.0,2695.0,34236252,660294.0,51850003,South America,521.0
Indonesia,6038664,155820,5820179,62665,21669.0,559.0,93900348,336945.0,278681282,Asia,225.0
Poland,5983864,115809,5334009,534046,158418.0,3066.0,35924946,951082.0,37772692,Europe,14138.0
Mexico,5725075,323891,5026123,375061,43587.0,2466.0,15691493,119465.0,131348341,North America,2855.0
Australia,5310268,6727,4876682,426859,204026.0,258.0,68170492,2619175.0,26027464,Australia/Oceania,16400.0
Ukraine,4990465,108220,,,115346.0,2501.0,19521252,451199.0,43265262,Europe,19051.0
Malaysia,4372697,35397,4224125,113175,132084.0,1069.0,57867837,1747986.0,33105427,Asia,3419.0
Austria,4036813,16390,3873490,146933,443701.0,1801.0,180245342,19811443.0,9098042,Europe,16150.0
Israel,4025950,10612,3941841,73497,431691.0,1138.0,41373364,4436346.0,9326000,Asia,7881.0
Thailand,3993292,26632,3741758,224902,56956.0,380.0,17270775,246330.0,70112328,Asia,3208.0
Belgium,3972963,31165,3638885,302913,340163.0,2668.0,33313880,2852320.0,11679574,Europe,25935.0
Czechia,3879307,39970,3802829,36508,361053.0,3720.0,55004633,5119372.0,10744411,Europe,3398.0
South Africa,3739192,100142,3626109,12941,61660.0,1651.0,24161679,398431.0,60642047,Africa,213.0
Portugal,3719485,21993,,,366680.0,2168.0,40678788,4010255.0,10143691,Europe,80968.0
Philippines,3682623,59956,3599468,23199,32827.0,534.0,29242796,260674.0,112181693,Asia,207.0
Canada,3623785,38288,3367618,217879,94536.0,999.0,60149136,1569151.0,38332273,North America,5684.0
Peru,3554669,212596,,,105196.0,6292.0,29371506,869216.0,33790808,South America,47984.0
Switzerland,3551790,13793,3162281,375716,405109.0,1573.0,20548491,2343714.0,8767492,Europe,42853.0
Chile,3525845,57205,3280357,188283,181662.0,2947.0,36365786,1873673.0,19408825,South America,9701.0
Greece,3224479,28488,3049305,146686,312078.0,2757.0,77606878,7511117.0,10332269,Europe,14197.0
Denmark,2946592,5974,2908818,31800,505542.0,1025.0,127045638,21797021.0,5828578,Europe,5456.0
Romania,2880276,65310,2606660,208306,151523.0,3436.0,22396439,1178210.0,19008864,Europe,10958.0
Sweden,2495996,18572,2453443,23981,244428.0,1819.0,18471631,1808893.0,10211568,Europe,2348.0
Iraq,2322938,25197,2291660,6081,55531.0,602.0,18418937,440315.0,41831289,Asia,145.0
Serbia,1994623,15916,1954914,23793,229938.0,1835.0,9359560,1078960.0,8674613,Europe,2743.0
Bangladesh,1952224,29124,1890264,32836,11647.0,174.0,13916558,83027.0,167615256,Asia,196.0
Hungary,1879480,45865,1748707,84908,195441.0,4769.0,11244573,1169287.0,9616609,Europe,8829.0
Slovakia,1762270,19697,1696968,45605,322503.0,3605.0,7010890,1283022.0,5464358,Europe,8346.0
Jordan,1694216,14048,1678941,1227,163160.0,1353.0,16670254,1605416.0,10383760,Asia,118.0
Georgia,1652707,16788,1633338,2581,415722.0,4223.0,16670928,4193404.0,3975512,Asia,649.0
Pakistan,1527075,30363,1487144,9568,6682.0,133.0,27830633,121777.0,228538380,Asia,42.0
Ireland,1498834,6932,1353083,138819,297616.0,1376.0,11962495,2375330.0,5036141,Europe,27565.0
Norway,1419096,2783,,,258166.0,506.0,11002430,2001593.0,5496837,Europe,241477.0
Kazakhstan,1305355,13660,1290785,910,68068.0,712.0,11575012,603582.0,19177195,Asia,47.0
Hong Kong,1196284,9069,,,157293.0,1192.0,44972952,5913256.0,7605447,Asia,154361.0
Morocco,1164296,16062,1147579,655,30891.0,426.0,11237010,298138.0,37690682,Africa,17.0
Singapore,1155581,1310,1082412,71859,194792.0,221.0,23611604,3980115.0,5932393,Asia,12113.0
Bulgaria,1148971,36781,948319,163871,167606.0,5365.0,9741861,1421095.0,6855181,Europe,23905.0
Croatia,1112491,15720,1091249,5522,274004.0,3872.0,4738252,1167021.0,4060125,Europe,1360.0
Cuba,1099042,8519,1088513,2010,97138.0,753.0,12920253,1141941.0,11314287,North America,178.0
Lebanon,1095406,10355,1076026,9025,161780.0,1529.0,4795578,708259.0,6770942,Asia,1333.0
Lithuania,1047573,9006,1002275,36292,394629.0,3393.0,8171007,3078085.0,2654575,Europe,13671.0
Tunisia,1038668,28509,,,86274.0,2368.0,4547755,377747.0,12039144,Africa,-1134.22
Slovenia,995515,6555,964712,24248,478740.0,3152.0,2632408,1265917.0,2079448,Europe,11661.0
Nepal,978648,11951,966259,438,32544.0,397.0,5591779,185952.0,30071072,Asia,15.0
Belarus,973206,6894,928536,37776,103053.0,730.0,13013839,1378033.0,9443780,Europe,4000.0
Finland,949583,3517,46000,900066,170909.0,633.0,10591416,1906278.0,5556070,Europe,161997.0
Bolivia,903776,21901,851262,30613,75586.0,1832.0,2688875,224880.0,11956936,South America,2560.0
