"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
China,160116,4638,131355,24123,111.0,3.0,160000000,111163.0,1439323776,Asia,17.0
USA,81999453,1011261,66219453,14768739,245194.0,3024.0,989588272,2959056.0,334427063,North America,44161.0
India,43033067,521604,42500002,11461,30652.0,372.0,792509451,564490.0,1403939582,Asia,8.0
Brazil,30094388,661035,28976397,456956,139827.0,3071.0,63776166,296323.0,215225111,South America,2123.0
France,26549263,143017,23814861,2591385,405157.0,2183.0,260504402,3975447.0,65528336,Europe,39546.0
Germany,22364607,131805,17930900,4301902,265434.0,1564.0,104701826,1242654.0,84256598,Europe,51057.0
UK,21524525,169412,19470498,1884615,314157.0,2473.0,509069181,7430022.0,68515161,Europe,27507.0
Russia,17955120,370889,17105946,478285,122942.0,2540.0,273400000,1872028.0,146044862,Europe,3275.0
Italy,15107172,160402,13692608,1254162,250513.0,2660.0,205167186,3402160.0,60304976,Europe,20797.0
Turkey,14939259,98311,14623264,217684,173834.0,1144.0,155400010,1808238.0,85940035,Asia,2533.0
S. Korea,14778405,18381,,,287814.0,358.0,15804065,307789.0,51347030,Asia,268574.0
Spain,11611209,102985,11021441,486783,248173.0,2201.0,471036328,10067734.0,46786728,Europe,10404.0
Vietnam,10096455,42733,8395066,1658656,102104.0,432.0,84845790,858036.0,98883664,Asia,16774.0
Argentina,9049250,128158,8877337,43755,197034.0,2790.0,35561414,774296.0,45927421,South America,953.0
Netherlands,7960952,22066,6815816,1123070,462799.0,1283.0,21107399,1227049.0,17201762,Europe,65288.0
Iran,7183808,140492,6904733,138583,83640.0,1636.0,49358909,574680.0,85889353,Asia,1614.0
Japan,6832377,28456,6329017,474904,54314.0,226.0,44223732,351558.0,125793403,Asia,3775.0
Colombia,6087123,139693,5920229,27201,117422.0,2695.0,34074406,657304.0,51839636,South America,525.0
Indonesia,6028413,155509,5794602,78302,21636.0,558.0,92817150,333125.0,278625997,Asia,281.0
