"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
China,165577,4638,138544,22395,115.0,3.0,160000000,111163.0,1439323776,Asia,16.0
USA,82103067,1012461,79959456,1131150,245492.0,3027.0,992034056,2966228.0,334442943,North America,3382.0
India,43036928,521723,42504329,10876,30652.0,372.0,794118951,565591.0,1404050703,Asia,8.0
Brazil,30161205,661389,29076974,422842,140130.0,3073.0,63776166,296306.0,215237477,South America,1965.0
France,26972867,143466,24198828,2630573,411614.0,2189.0,260504402,3975375.0,65529517,Europe,40143.0
Germany,22771886,132311,18618400,4021175,270261.0,1570.0,122332384,1451865.0,84258788,Europe,47724.0
UK,21641004,170107,19800657,1670240,315844.0,2483.0,509604812,7437523.0,68518078,Europe,24377.0
Russia,18007915,371964,17239857,396094,123304.0,2547.0,273400000,1872021.0,146045373,Europe,2712.0
S. Korea,15424598,19679,,,300397.0,383.0,15804065,307787.0,51347390,Asia,281132.0
Italy,15320753,160863,13927128,1232762,254058.0,2668.0,206592711,3425840.0,60304250,Europe,20442.0
Turkey,14965867,98437,14661828,205602,174128.0,1145.0,156138467,1816673.0,85947470,Asia,2392.0
Spain,11627487,103104,11033321,491062,248520.0,2204.0,471036328,10067702.0,46786876,Europe,10496.0
Vietnam,10250160,42830,8554923,1652407,103651.0,433.0,85009933,859634.0,98890836,Asia,16709.0
Argentina,9054126,128233,8886999,38894,197125.0,2792.0,35632186,775779.0,45930817,South America,847.0
Netherlands,7995537,22101,7093759,879677,464801.0,1285.0,21107399,1227027.0,17202072,Europe,51138.0
Iran,7194768,140650,6922629,131489,83759.0,1637.0,50079995,583016.0,85898165,Asia,1531.0
Japan,7039563,28684,6509598,501281,55963.0,228.0,44736404,355643.0,125790243,Asia,3985.0
Colombia,6088335,139725,5921483,27127,117435.0,2695.0,34157845,658857.0,51844079,South America,523.0
Indonesia,6033903,155674,5808380,69849,21654.0,559.0,93301127,334833.0,278649691,Asia,251.0
