"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
China,164393,4638,137166,22589,114.0,3.0,160000000,111163.0,1439323776,Asia,16.0
USA,82062989,1012151,79908520,1142318,245376.0,3026.0,991173404,2963702.0,334437650,North America,3416.0
India,43036132,521722,42503383,11027,30652.0,372.0,793847740,565413.0,1404013663,Asia,8.0
Brazil,30152402,661309,29038896,452197,140092.0,3073.0,63776166,296312.0,215233355,South America,2101.0
France,26947375,143288,24018096,2785991,411227.0,2187.0,260504402,3975399.0,65529123,Europe,42515.0
Germany,22679247,132311,18414600,4132336,269164.0,1570.0,122332384,1451878.0,84258058,Europe,49044.0
UK,21549830,169759,19607449,1772622,314518.0,2478.0,509604812,7437629.0,68517106,Europe,25871.0
Russia,17996060,371716,17213102,411242,123223.0,2545.0,273400000,1872023.0,146045203,Europe,2816.0
S. Korea,15333670,19421,,,298627.0,378.0,15804065,307788.0,51347270,Asia,279367.0
Italy,15292048,160748,13884744,1246556,253581.0,2666.0,206399929,3422629.0,60304492,Europe,20671.0
Turkey,14958974,98409,14650621,209944,174053.0,1145.0,155956251,1814605.0,85944992,Asia,2443.0
Spain,11627487,103104,11033321,491062,248521.0,2204.0,471036328,10067713.0,46786827,Europe,10496.0
Vietnam,10198236,42813,8532523,1622900,103129.0,433.0,85007902,859634.0,98888445,Asia,16411.0
Argentina,9052536,128198,8885072,39266,197096.0,2791.0,35611642,775351.0,45929685,South America,855.0
Netherlands,7971855,22080,6964548,985227,463427.0,1284.0,21107399,1227034.0,17201968,Europe,57274.0
Iran,7191643,140616,6918860,132167,83726.0,1637.0,50020619,582345.0,85895228,Asia,1539.0
Japan,6991687,28646,6468100,494941,55582.0,228.0,44669396,355107.0,125791297,Asia,3935.0
Colombia,6088034,139719,5921185,27130,117433.0,2695.0,34135355,658442.0,51842598,South America,523.0
Indonesia,6032707,155626,5804402,72679,21650.0,559.0,93171527,334377.0,278641793,Asia,261.0
Poland,5978215,115635,5333810,528770,158266.0,3061.0,35853027,949164.0,37773256,Europe,13999.0
Mexico,5722541,323720,5021145,377676,43574.0,2465.0,15669932,119317.0,131329847,North America,2876.0
Australia,5064885,6564,4572728,485593,194628.0,252.0,67658270,2599899.0,26023424,Australia/Oceania,18660.0
Ukraine,4982249,108118,,,115146.0,2499.0,19521252,451162.0,43268832,Europe,18861.0
Malaysia,4325818,35292,4144728,145798,130690.0,1066.0,57465179,1736121.0,33099762,Asia,4405.0
Israel,3997863,10584,3941841,45438,428679.0,1135.0,41373364,4436346.0,9326000,Asia,4872.0
Austria,3987385,16226,3779116,192043,438302.0,1784.0,179365755,19716284.0,9097341,Europe,21110.0
Belgium,3915732,30997,3589265,295470,335283.0,2654.0,33120016,2835888.0,11678886,Europe,25300.0
Thailand,3883485,26086,3606429,250970,55391.0,372.0,17270775,246338.0,70109942,Asia,3580.0
Czechia,3862326,39880,3778894,43552,359482.0,3712.0,54905349,5110260.0,10744141,Europe,4054.0
