"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
China,166849,4638,140220,21991,116.0,3.0,160000000,111163.0,1439323776,Asia,15.0
USA,82133342,1013044,80015081,1105217,245579.0,3029.0,992445691,2967412.0,334448237,North America,3305.0
India,43038016,521746,42505410,10860,30652.0,372.0,794118951,565576.0,1404087743,Asia,8.0
Brazil,30183929,661552,29126303,396074,140233.0,3074.0,63776166,296300.0,215241599,South America,1840.0
France,27163629,143625,24344210,2675794,414523.0,2192.0,260504402,3975351.0,65529910,Europe,40833.0
Germany,22936514,132599,18893100,3910815,272213.0,1574.0,122332384,1451852.0,84259518,Europe,46414.0
UK,21693271,170395,19892105,1630771,316602.0,2487.0,511253697,7461482.0,68519051,Europe,23800.0
Russia,18018825,372245,17271128,375452,123378.0,2549.0,273400000,1872019.0,146045544,Europe,2571.0
S. Korea,15635274,19850,,,304499.0,387.0,15804065,307786.0,51347510,Asia,285231.0
Italy,15405358,161032,14015032,1229294,255462.0,2670.0,207155729,3435190.0,60304008,Europe,20385.0
Turkey,14972502,98462,14673980,200060,174200.0,1146.0,156329493,1818843.0,85949948,Asia,2328.0
Spain,11662214,103266,11120708,438240,249262.0,2207.0,471036328,10067692.0,46786925,Europe,9367.0
Vietnam,10272964,42858,8757107,1472999,103879.0,433.0,85106796,860593.0,98893226,Asia,14895.0
Argentina,9056203,128268,8888514,39421,197166.0,2793.0,35657472,776311.0,45931949,South America,858.0
Netherlands,8001806,22117,7146082,833607,465162.0,1286.0,21107399,1227019.0,17202175,Europe,48459.0
Iran,7197505,140678,6927042,129785,83788.0,1638.0,50079995,582996.0,85901102,Asia,1511.0
Japan,7072699,28721,6546376,497602,56227.0,228.0,44834262,356424.0,125789190,Asia,3956.0
Colombia,6088619,139729,5921750,27140,117438.0,2695.0,34183285,659329.0,51845560,South America,523.0
Indonesia,6035358,155717,5811666,67975,21659.0,559.0,93452538,335367.0,278657588,Asia,244.0
Poland,5980217,115696,5333816,530705,158320.0,3063.0,35878475,949844.0,37773030,Europe,14050.0
Mexico,5723214,323727,5023414,376073,43576.0,2465.0,15675589,119354.0,131337245,North America,2863.0
Australia,5153619,6609,4692067,454943,198025.0,254.0,67815935,2605796.0,26025040,Australia/Oceania,17481.0
Ukraine,4987285,108167,,,115267.0,2500.0,19521252,451177.0,43267404,Europe,18977.0
Malaysia,4342559,35341,4180763,126455,131187.0,1068.0,57608005,1740316.0,33102028,Asia,3820.0
Israel,4011666,10601,3941841,59224,430159.0,1137.0,41373364,4436346.0,9326000,Asia,6350.0
Austria,4004069,16286,3819238,168545,440123.0,1790.0,179667360,19748829.0,9097621,Europe,18526.0
