"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
Papua New Guinea,43374,643,42597,134,4691.0,70.0,249149,26946.0,9246373,Australia/Oceania,14.0
Curaçao,41153,270,40306,577,248991.0,1634.0,494095,2989460.0,165279,North America,3491.0
Bhutan,40629,14,31424,9191,51650.0,18.0,2163484,2750358.0,786619,Asia,11684.0
Andorra,40328,153,39702,473,520475.0,1975.0,249838,3224423.0,77483,Europe,6105.0
Burundi,38663,38,773,37852,3089.0,3.0,345742,27624.0,12515986,Africa,3024.0
Mayotte,36958,187,2964,33807,129933.0,657.0,176919,621995.0,284438,Africa,118855.0
Togo,36956,272,36650,34,4287.0,32.0,722576,83812.0,8621361,Africa,4.0
Mauritius,36943,985,34747,1211,28964.0,772.0,358675,281204.0,1275497,Africa,949.0
Guinea,36459,440,35976,43,2649.0,32.0,660107,47967.0,13761742,Africa,3.0
Faeroe Islands,34658,28,7693,26937,704560.0,569.0,778000,15815901.0,49191,Europe,547600.0
Aruba,34189,212,33893,84,317839.0,1971.0,177885,1653713.0,107567,North America,781.0
Bahamas,33346,789,32231,326,83389.0,1973.0,229025,572730.0,399883,North America,815.0
Lesotho,32910,697,24155,8058,15150.0,321.0,431221,198513.0,2172256,Africa,3710.0
Haiti,30585,835,29082,668,2626.0,72.0,132422,11369.0,11648111,North America,57.0
Mali,30546,729,29668,149,1435.0,34.0,655317,30794.0,21280607,Africa,7.0
Isle of Man,28416,84,26794,1538,331081.0,979.0,150753,1756455.0,85828,Europe,17920.0
Benin,26952,163,25506,1283,2125.0,13.0,604310,47644.0,12683872,Africa,101.0
Taiwan,26835,854,21052,4929,1123.0,36.0,13210024,552884.0,23892946,Asia,206.0
Somalia,26471,1350,13182,11939,1587.0,81.0,400466,24014.0,16676078,Africa,716.0
Congo,24079,385,20178,3516,4182.0,67.0,347815,60406.0,5757922,Africa,611.0
Saint Lucia,23029,365,22610,54,124407.0,1972.0,141093,762212.0,185110,North America,292.0
Timor-Leste,22842,130,22697,15,16761.0,95.0,258938,190005.0,1362798,Asia,11.0
Cayman Islands,21121,25,8553,12543,314835.0,373.0,222773,3320708.0,67086,North America,186969.0
Burkina Faso,20853,382,20439,32,952.0,17.0,248995,11362.0,21915280,Africa,1.0
South Sudan,17333,138,13514,3681,1517.0,12.0,364018,31860.0,11425590,Africa,322.0
Gibraltar,17236,101,16579,556,511864.0,2999.0,534283,15866807.0,33673,Europe,16512.0
Liechtenstein,16735,84,16345,306,436706.0,2192.0,102174,2666267.0,38321,Europe,7985.0
Equatorial Guinea,15904,183,15696,25,10714.0,123.0,303365,204376.0,1484347,Africa,17.0
Djibouti,15594,189,15401,4,15388.0,187.0,300468,296500.0,1013382,Africa,4.0
San Marino,15181,113,14740,328,445753.0,3318.0,144139,4232287.0,34057,Europe,9631.0
CAR,14649,113,6859,7677,2943.0,23.0,81294,16330.0,4978097,Africa,1542.0
Grenada,14024,218,13748,58,123620.0,1922.0,144147,1270645.0,113444,North America,511.0
Bermuda,12711,129,12362,220,205444.0,2085.0,848492,13713889.0,61871,North America,3556.0
Solomon Islands,12005,137,10805,1063,16752.0,191.0,5117,7140.0,716628,Australia/Oceania,1483.0
Gambia,11990,365,11591,34,4727.0,144.0,155686,61377.0,2536536,Africa,13.0
Greenland,11971,21,2761,9189,210224.0,369.0,164926,2896284.0,56944,North America,161369.0
Dominica,11953,63,11757,133,165320.0,871.0,185863,2570648.0,72302,North America,1840.0
Yemen,11813,2147,8999,667,381.0,69.0,265253,8560.0,30986052,Asia,22.0
Monaco,11152,54,10830,268,280666.0,1359.0,54960,1383198.0,39734,Europe,6745.0
Saint Martin,10176,63,1399,8714,255479.0,1582.0,112382,2821471.0,39831,North America,218774.0
Sint Maarten,9853,86,9682,85,225284.0,1966.0,62056,1418877.0,43736,North America,1943.0
Eritrea,9729,103,9625,1,2678.0,28.0,23693,6521.0,3633134,Africa,0.3
Caribbean Netherlands,8992,33,8620,339,337360.0,1238.0,30126,1130262.0,26654,North America,12719.0
Niger,8822,308,8487,27,343.0,12.0,243301,9447.0,25753166,Africa,1.0
Guinea-Bissau,8172,170,7260,742,3986.0,83.0,130662,63733.0,2050139,Africa,362.0
Tonga,7931,9,5934,1988,73563.0,83.0,275789,2558055.0,107812,Australia/Oceania,18440.0
Sierra Leone,7677,125,,,929.0,15.0,259958,31459.0,8263486,Africa,331.0
Antigua and Barbuda,7511,135,7358,18,75592.0,1359.0,18901,190224.0,99362,North America,181.0
Liberia,7400,294,5747,1359,1405.0,56.0,139824,26544.0,5267601,Africa,258.0
Chad,7347,192,4874,2281,426.0,11.0,191341,11087.0,17258004,Africa,132.0
St. Vincent Grenadines,6748,106,6639,3,60486.0,950.0,98670,884433.0,111563,North America,27.0
British Virgin Islands,6162,62,,,201458.0,2027.0,102294,3344362.0,30587,North America,621.0
Sao Tome and Principe,5948,73,5872,3,26278.0,323.0,29036,128281.0,226347,Africa,13.0
Turks and Caicos,5923,36,5859,28,149412.0,908.0,447713,11293905.0,39642,North America,706.0
Saint Kitts and Nevis,5553,43,5506,4,103093.0,798.0,65141,1209361.0,53864,North America,74.0
Vanuatu,5298,4,3575,1719,16566.0,13.0,24976,78094.0,319819,Australia/Oceania,5375.0
St. Barth,4313,6,,,434340.0,604.0,78646,7920040.0,9930,North America,387210.0
Palau,4098,6,3785,307,224597.0,329.0,42036,2303847.0,18246,Australia/Oceania,16826.0
Cook Islands,3171,,2319,852,180252.0,,13184,749432.0,17592,Australia/Oceania,48431.0
Anguilla,2717,9,2692,16,178281.0,591.0,51382,3371522.0,15240,North America,1050.0
Saint Pierre Miquelon,2509,1,2361,147,436804.0,174.0,22826,3973886.0,5744,North America,25592.0
Wallis and Futuna,454,7,438,9,41686.0,643.0,20508,1883023.0,10891,Australia/Oceania,826.0
Montserrat,176,2,173,1,35221.0,400.0,9403,1881729.0,4997,North America,200.0
Falkland Islands,128,,,,34982.0,,8632,2359115.0,3659,South America,1093.0
Macao,82,,82,0,123.0,,5375,8083.0,664973,Asia,
